Extension,Technology,Enable Voicemail,CallerID Number,SIP/IAX Password,Voicemail Password,Skip Voicemail Password Verification,Ring Timeout,Auto Record,SRTP,Fax Detection,Strategy,Local Subnet 1,Local Subnet 2,Local Subnet 3,Local Subnet 4,Local Subnet 5,Local Subnet 6,Local Subnet 7,Local Subnet 8,Local Subnet 9,Local Subnet 10,Specific IP Address,Skip Trunk Auth,Codec Preference,Permission,NAT,Can Reinvite,DTMF Mode,Insecure,Enable Keep-alive,Keep-alive Frequency,AuthID,TEL URI,Call Forward Busy,Call Forward No Answer,Call Forward Unconditional,Support Hot-Desking Mode,Dial Trunk Password,Disable This Extension,CFU Time Condition,CFN Time Condition,CFB Time Condition,First Name,Last Name,Email Address,Language
1040,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1041,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1042,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1043,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1044,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1045,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1046,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1047,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1048,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1049,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1050,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1051,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1052,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1053,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1054,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1055,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1056,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1057,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1058,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1059,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1060,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1061,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1062,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1063,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1064,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1065,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1066,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1067,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1068,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1069,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1070,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1071,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1072,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1073,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1074,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1002,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1003,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,80,80,,Default
1004,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1005,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,0,0,,Default
1006,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1007,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
1008,SIP,yes,,test123,80275,yes,12,yes,yes,yes,Local Subnet Only,192.168.11.0,192.168.161.0,192.168.151.0,192.168.141.0,192.168.111.0,192.168.131.0,192.168.155.0,192.168.166.0,192.168.51.0,192.168.151.0,,yes,"PCMU,PCMA,GSM,G.722,G.729,H.264,ILBC,AAL2-G.726-32,ADPCM,G.723,H.263,H.263p",International,yes,yes,RFC2833,Port,yes,60,dfdfdd,User=Phone,33253,43434,43434,no,,no,All Time,All Time,All Time,,,,Default
